央视卫视,#genre#
CCTV1,http://110.241.189.42:808/hls/1/index.m3u8
CCTV1,http://123.182.247.236:8092/hls/1/index.m3u8
CCTV1,http://47.108.221.227:9099/hls/1/index.m3u8
CCTV1,http://117.72.36.109:9099/hls/1/index.m3u8
CCTV1,http://111.61.236.247:9081/hls/1/index.m3u8
CCTV2,http://182.46.8.205:8018/hls/2/index.m3u8
CCTV2,http://110.241.189.42:808/hls/2/index.m3u8
CCTV2,http://60.9.236.96:50003/hls/2/index.m3u8
CCTV2,http://123.182.247.236:8092/hls/2/index.m3u8
CCTV3,http://182.46.8.205:8018/hls/3/index.m3u8
CCTV3,http://110.241.189.42:808/hls/3/index.m3u8
CCTV4,http://123.182.247.236:8092/hls/4/index.m3u8
CCTV4,http://182.46.8.205:8018/hls/4/index.m3u8
CCTV4,http://110.241.189.42:808/hls/4/index.m3u8
CCTV4,http://111.61.236.247:9081/hls/4/index.m3u8
CCTV4,http://60.9.236.96:50003/hls/4/index.m3u8
CCTV5,http://182.46.8.205:8018/hls/5/index.m3u8
CCTV5,http://110.241.189.42:808/hls/5/index.m3u8
CCTV5,http://111.61.236.247:9081/hls/5/index.m3u8
CCTV5,http://60.9.236.96:50003/hls/5/index.m3u8
CCTV5,http://123.182.247.236:8092/hls/5/index.m3u8
CCTV5+,http://110.241.189.42:808/hls/17/index.m3u8
CCTV5+,http://60.9.236.96:50003/hls/21/index.m3u8
CCTV6,http://110.241.189.42:808/hls/6/index.m3u8
CCTV6,http://60.9.236.96:50003/hls/6/index.m3u8
CCTV6,http://182.46.8.205:8018/hls/6/index.m3u8
CCTV7,http://110.241.189.42:808/hls/7/index.m3u8
CCTV7,http://60.9.236.96:50003/hls/7/index.m3u8
CCTV8,http://110.241.189.42:808/hls/8/index.m3u8
CCTV8,http://111.61.236.247:9081/hls/8/index.m3u8
CCTV8,http://60.9.236.96:50003/hls/8/index.m3u8
CCTV8,http://182.46.8.205:8018/hls/8/index.m3u8
CCTV9,http://182.46.8.205:8018/hls/9/index.m3u8
CCTV9,http://110.241.189.42:808/hls/9/index.m3u8
CCTV9,http://111.61.236.247:9081/hls/9/index.m3u8
CCTV9,http://60.9.236.96:50003/hls/9/index.m3u8
CCTV9,http://123.182.247.236:8092/hls/9/index.m3u8
CCTV10,http://182.46.8.205:8018/hls/10/index.m3u8
CCTV10,http://123.10.78.178:808/hls/10/index.m3u8
CCTV10,http://111.61.236.247:9081/hls/10/index.m3u8
CCTV10,http://60.9.236.96:50003/hls/10/index.m3u8
CCTV10,http://123.182.247.236:8092/hls/10/index.m3u8
CCTV11,http://110.241.189.42:808/hls/11/index.m3u8
CCTV11,http://111.61.236.247:9081/hls/11/index.m3u8
CCTV11,http://60.9.236.96:50003/hls/11/index.m3u8
CCTV12,http://110.241.189.42:808/hls/12/index.m3u8
CCTV12,http://182.46.8.205:8018/hls/12/index.m3u8
CCTV12,http://123.10.78.178:808/hls/12/index.m3u8
CCTV12,http://111.61.236.247:9081/hls/12/index.m3u8
CCTV12,http://60.9.236.96:50003/hls/12/index.m3u8
CCTV12,http://123.182.247.236:8092/hls/12/index.m3u8
CCTV13,http://123.10.78.178:808/hls/13/index.m3u8
CCTV13,http://111.61.236.247:9081/hls/13/index.m3u8
CCTV13,http://60.9.236.96:50003/hls/13/index.m3u8
CCTV13,http://123.182.247.236:8092/hls/13/index.m3u8
CCTV14,http://123.10.78.178:808/hls/14/index.m3u8
CCTV14,http://182.46.8.205:8018/hls/14/index.m3u8
CCTV14,http://110.241.189.42:808/hls/14/index.m3u8
CCTV14,http://111.61.236.247:9081/hls/14/index.m3u8
CCTV14,http://60.9.236.96:50003/hls/14/index.m3u8
CCTV15,http://123.10.78.178:808/hls/15/index.m3u8
CCTV15,http://110.241.189.42:808/hls/15/index.m3u8
CCTV15,http://60.9.236.96:50003/hls/15/index.m3u8
CCTV16外语,http://110.241.189.42:808/hls/16/index.m3u8
CCTV17,http://60.9.236.96:50003/hls/17/index.m3u8
CCTVNEWS,http://111.61.236.247:9081/hls/16/index.m3u8
CCTV一套,http://58.17.48.228:808/hls/1/index.m3u8
CCTV七套,http://58.17.48.228:808/hls/24/index.m3u8
CCTV二套,http://58.17.48.228:808/hls/2/index.m3u8
CCTV五套,http://58.17.48.228:808/hls/5/index.m3u8
CCTV十一,http://58.17.48.228:808/hls/11/index.m3u8
CCTV十三,http://58.17.48.228:808/hls/13/index.m3u8
CCTV十二,http://58.17.48.228:808/hls/12/index.m3u8
CCTV十五,http://58.17.48.228:808/hls/15/index.m3u8
CCTV十套,http://58.17.48.228:808/hls/10/index.m3u8
CCTV四套,http://58.17.48.228:808/hls/4/index.m3u8
上海卫视,http://60.9.236.96:50003/hls/39/index.m3u8
东南卫视,http://60.9.236.96:50003/hls/53/index.m3u8
东南卫视,http://182.46.8.205:8018/hls/55/index.m3u8
东南卫视,http://123.182.247.236:8092/hls/33/index.m3u8
东南卫视,http://58.17.48.228:808/hls/47/index.m3u8
东方卫视,http://182.46.8.205:8018/hls/54/index.m3u8
东方卫视,http://123.10.78.178:808/hls/37/index.m3u8
东方卫视,http://110.241.189.42:808/hls/32/index.m3u8
东方卫视,http://111.61.236.247:9081/hls/40/index.m3u8
东方卫视,http://58.17.48.228:808/hls/33/index.m3u8
云南卫视,http://123.10.78.178:808/hls/46/index.m3u8
云南卫视,http://60.9.236.96:50003/hls/55/index.m3u8
云南卫视,http://111.61.236.247:9081/hls/32/index.m3u8
云南卫视,http://110.241.189.42:808/hls/47/index.m3u8
兵团卫视,http://182.46.8.205:8018/hls/78/index.m3u8
内蒙古卫视,http://60.9.236.96:50003/hls/59/index.m3u8
内蒙古卫视,http://182.46.8.205:8018/hls/67/index.m3u8
内蒙古卫视,http://58.17.48.228:808/hls/60/index.m3u8
内蒙古卫视,http://110.241.189.42:808/hls/39/index.m3u8
北京卫视,http://123.10.78.178:808/hls/36/index.m3u8
北京卫视,http://182.46.8.205:8018/hls/46/index.m3u8
北京卫视,http://110.241.189.42:808/hls/21/index.m3u8
北京卫视,http://60.9.236.96:50003/hls/38/index.m3u8
北京卫视,http://123.182.247.236:8092/hls/23/index.m3u8
北京卫视,http://58.17.48.228:808/hls/35/index.m3u8
厦门卫视,http://123.10.78.178:808/hls/69/index.m3u8
吉林卫视,http://182.46.8.205:8018/hls/30/index.m3u8
吉林卫视,http://110.241.189.42:808/hls/36/index.m3u8
吉林卫视,http://111.61.236.247:9081/hls/45/index.m3u8
吉林卫视,http://60.9.236.96:50003/hls/54/index.m3u8
吉林卫视,http://123.182.247.236:8092/hls/44/index.m3u8
吉林卫视,http://58.17.48.228:808/hls/56/index.m3u8
四川卫视,http://123.10.78.178:808/hls/44/index.m3u8
四川卫视,http://111.61.236.247:9081/hls/35/index.m3u8
四川卫视,http://110.241.189.42:808/hls/31/index.m3u8
四川卫视,http://60.9.236.96:50003/hls/48/index.m3u8
四川卫视,http://123.182.247.236:8092/hls/41/index.m3u8
天津卫视,http://110.241.189.42:808/hls/22/index.m3u8
天津卫视,http://123.10.78.178:808/hls/38/index.m3u8
天津卫视,http://123.182.247.236:8092/hls/25/index.m3u8
天津卫视,http://58.17.48.228:808/hls/42/index.m3u8
宁夏卫视,http://60.9.236.96:50003/hls/62/index.m3u8
宁夏卫视,http://182.46.8.205:8018/hls/68/index.m3u8
宁夏卫视,http://110.241.189.42:808/hls/41/index.m3u8
宁夏卫视,http://58.17.48.228:808/hls/65/index.m3u8
安徽卫视,http://182.46.8.205:8018/hls/48/index.m3u8
安徽卫视,http://110.241.189.42:808/hls/29/index.m3u8
安徽卫视,http://123.10.78.178:808/hls/40/index.m3u8
安徽卫视,http://111.61.236.247:9081/hls/27/index.m3u8
安徽卫视,http://60.9.236.96:50003/hls/46/index.m3u8
安徽卫视,http://123.182.247.236:8092/hls/29/index.m3u8
安徽卫视,http://58.17.48.228:808/hls/36/index.m3u8
山东卫视,http://123.10.78.178:808/hls/39/index.m3u8
